GitHub,Model,Accuracy
testing_01,GradientBoostingClassifier,0.5705926294820717
testing_2,GradientBoostingClassifier,0.5672310756972112
aayu04shi,RandomForest,0.5672310756972112
,RandomForest,0.5565239043824701
